Dato,Resultat,Modstander,Spillested,Kamptype,Køn,Hold,Tilskuere,date
26-03-2005,3 - 0,Kasakhstan,Parken,VM-kvalifikationskamp,Herrer,A-Landshold,20980,2005-03-26
26-03-2006,2 - 0,Belgien,R. Géants Athois,VM-kvalifikationskamp,Kvinder,A-Landshold,475,2006-03-26
26-03-2008,0 - 1,Sverige,Aalborg Stadion,Testkamp,Herrer,U21-landshold,344,2008-03-26
26-03-2008,1 - 1,Tjekkiet,MCH Arena,Testkamp,Herrer,A-Landshold,10476,2008-03-26
26-03-2009,0 - 2,Tyrkiet,NA,Testkamp,Herrer,U21-landshold,112,2009-03-26
26-03-2009,1 - 2,Belarus,Mora Stadium,EM-kvalifikationskamp,Herrer,U17-landshold,475,2009-03-26
26-03-2011,1 - 1,Norge,Ullevaal,EM-kvalifikationskamp,Herrer,A-Landshold,24828,2011-03-26
26-03-2013,1 - 1,Bulgarien,Parken,VM-kvalifikationskamp,Herrer,A-Landshold,22357,2013-03-26
26-03-2015,0 - 0,Portugal,Stadium Municipal,Testkamp,Herrer,U21-landshold,4632,2015-03-26
26-03-2015,2 - 3,England,Henry Jeanne,EM-kvalifikationskamp,Herrer,U19-landshold,0,2015-03-26
26-03-2016,0 - 4,Frankrig,NA,UEFA turnering,Herrer,U19-landshold,112,2016-03-26
26-03-2017,0 - 0,Rumænien,Dr. Constantin Radulescu stadium,VM-kvalifikationskamp,Herrer,A-Landshold,26895,2017-03-26
26-03-2018,2 - 2,Tjekkiet,SCM Bavlna,Testkamp,Herrer,U18-landshold,0,2018-03-26
26-03-2019,2 - 2,England,St. George´s Park,EM-kvalifikationskamp,Herrer,U19-landshold,326,2019-03-26
26-03-2019,3 - 3,Schweiz,St. Jakob-Park,EM-kvalifikationskamp,Herrer,A-Landshold,18352,2019-03-26
26-03-2022,0 - 2,Østrig,Estadi Olimpic Camilo Cano,EM-kvalifikationskamp,Herrer,U19-landshold,150,2022-03-26
26-03-2022,2 - 4,Holland,Johan Cruijff arenA,Testkamp,Herrer,A-Landshold,39440,2022-03-26
26-03-2022,3 - 2,Letland,JYSK Park,EM-kvalifikationskamp,Herrer,U17-landshold,451,2022-03-26
26-03-2023,2 - 3,Kasakhstan,Astana Arena,EM-kvalifikationskamp,Herrer,A-Landshold,28697,2023-03-26
26-03-2024,1 - 0,Portugal,Estádio Municipal Amarante,International turnering,Herrer,U18-landshold,269,2024-03-26
26-03-2024,2 - 0,Færøerne,Brøndby Stadion,Testkamp,Herrer,A-Landshold,17332,2024-03-26
26-03-2024,2 - 0,Portugal,Estadio Cidade de Coimbra,UEFA turnering,Herrer,U19-landshold,687,2024-03-26
26-03-2024,3 - 0,Litauen,Vejle Stadion,EM-kvalifikationskamp,Herrer,U21-landshold,1581,2024-03-26
26-03-2024,4 - 1,Portugal,Estádio Nacional,Testkamp,Herrer,U20-landshold,72,2024-03-26
26-03-2024,7 - 0,Georgien,Shengelia Arena,EM-kvalifikationskamp,Herrer,U17-landshold,538,2024-03-26
26-04-1972,2 - 0,Grækenland,Vejle Stadion,EM-slutrunde,Herrer,U21-landshold,3900,1972-04-26
26-04-1973,1 - 2,Sverige,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,40000,1973-04-26
26-04-1983,1 - 1,Grækenland,Glostrup Stadion,EM-kvalifikationskamp,Herrer,U21-landshold,966,1983-04-26
26-04-1988,2 - 1,Østrig,NA,Testkamp,Herrer,U21-landshold,1500,1988-04-26
26-04-1989,2 - 0,Bulgarien,Vasilij Levski,VM-kvalifikationskamp,Herrer,A-Landshold,37000,1989-04-26
26-04-1994,4 - 3,Schweiz,NA,EM-slutrunde,Herrer,U17-landshold,300,1994-04-26
26-04-1995,1 - 0,Nordmakedonien,Parken,EM-kvalifikationskamp,Herrer,A-Landshold,38888,1995-04-26
26-04-1995,5 - 2,Nordmakedonien,Brøndby Stadion,EM/OL-kvalifikation,Herrer,U21-landshold,300,1995-04-26
26-04-1998,1 - 1,Sverige,NA,EM-slutrunde,Herrer,U17-landshold,122,1998-04-26
26-04-2000,0 - 1,Sverige,Parken,Testkamp,Herrer,A-Landshold,28491,2000-04-26
26-04-2000,1 - 2,Sverige,Farum Park,Testkamp,Herrer,U21-landshold,4418,2000-04-26
26-04-2005,1 - 1,Tjekkiet,Hubert-Houben Stadion,EM-kvalifikationskamp,Kvinder,U19-landshold,1810,2005-04-26
26-04-2007,0 - 0,Tyskland,Friedrich-Ludwig-Jahn Stadion,Testkamp,Kvinder,U17-landshold,1550,2007-04-26
26-04-2008,2 - 0,Belarus,NA,EM-kvalifikationskamp,Kvinder,U19-landshold,109,2008-04-26
26-04-2009,0 - 3,Sverige,NA,Testkamp,Kvinder,U23-landshold,853,2009-04-26
26-04-2010,1 - 2,Italien,NA,International turnering,Herrer,U18-landshold,325,2010-04-26
26-04-2011,0 - 3,Tyskland,Blue Water Arena,EM-kvalifikationskamp,Kvinder,U17-landshold,0,2011-04-26
26-04-2012,2 - 1,Holland,Gentofte Stadion,EM-kvalifikationskamp,Kvinder,U17-landshold,250,2012-04-26
26-04-2012,4 - 0,Ukraine,Stadium Stara Tura,International turnering,Herrer,U18-landshold,155,2012-04-26
26-04-2019,0 - 3,Ungarn,NA,Testkamp,Herrer,Futsallandsholdet,0,2019-04-26
26-04-2024,5 - 1,Irland,National Sports Campus Ireland,Testkamp,Kvinder,U16-landshold,83,2024-04-26
26-05-1957,1 - 1,Bulgarien,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,35000,1957-05-26
26-05-1960,2 - 2,Norge,Aksla Stadion,Testkamp,Herrer,B-Landshold,11000,1960-05-26
26-05-1960,3 - 0,Norge,Københavns Idrætspark,NM,Herrer,A-Landshold,44100,1960-05-26
26-05-1960,4 - 0,Norge,NA,Testkamp,Herrer,U21-landshold,10100,1960-05-26
26-05-1969,0 - 3,Schweiz,Esbjerg Idrætspark,Testkamp,Herrer,U21-landshold,4500,1969-05-26
26-05-1971,1 - 2,Belgien,Københavns Idrætspark,EM-kvalifikationskamp,Herrer,A-Landshold,27300,1971-05-26
26-05-1974,4 - 0,Luxembourg,NA,EM-slutrunde,Herrer,U19-landshold,0,1974-05-26
26-05-1979,2 - 1,Polen,NA,EM-slutrunde,Herrer,U19-landshold,0,1979-05-26
26-05-1994,0 - 1,Sverige,Parken,Testkamp,Herrer,U21-landshold,1500,1994-05-26
26-05-1994,1 - 0,Sverige,Parken,Testkamp,Herrer,A-Landshold,28689,1994-05-26
26-05-1994,4 - 0,Bulgarien,NA,EM-kvalifikationskamp,Kvinder,A-Landshold,0,1994-05-26
26-05-1996,1 - 1,Japan,NA,International turnering,Kvinder,A-Landshold,0,1996-05-26
26-05-1998,6 - 0,Slovakiet,Præstø Stadion,Testkamp,Herrer,U19-landshold,0,1998-05-26
26-05-2002,2 - 1,Tunesien,Kimiidera Park Soccer Stadium,Testkamp,Herrer,A-Landshold,19800,2002-05-26
26-05-2002,4 - 2,Finland,Odense Stadion,VM-kvalifikationskamp,Kvinder,A-Landshold,1187,2002-05-26
26-05-2006,0 - 2,Schweiz,Metalurg Stadion,EM-kvalifikationskamp,Herrer,U19-landshold,1500,2006-05-26
26-05-2006,1 - 1,Holland,Estádio Municipal de Aveiro,EM-slutrunde,Herrer,U21-landshold,8021,2006-05-26
26-05-2012,0 - 3,England,The Sport House,Testkamp,Herrer,Futsallandsholdet,247,2012-05-26
26-05-2012,1 - 3,Brasilien,Imtech Arena,Testkamp,Herrer,A-Landshold,51000,2012-05-26
26-05-2014,2 - 0,Aspire,Aspire Academy,Uofficiel landskamp,Herrer,U18-landshold,56,2014-05-26
26-05-2022,1 - 2,Serbien,Nes Ziona Stadium,EM-slutrunde,Herrer,U17-landshold,383,2022-05-26
26-05-2024,0 - 4,Østrig,Tassos Markou Municipal Stadium,EM-slutrunde,Herrer,U17-landshold,104,2024-05-26
26-06-1947,1 - 6,Sverige,Råsunda,Testkamp,Herrer,A-Landshold,38000,1947-06-26
26-06-1948,8 - 0,Polen,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,28900,1948-06-26
26-06-1951,2 - 0,Norge,Københavns Idrætspark,Testkamp,Herrer,U19-landshold,7000,1951-06-26
26-06-1959,4 - 2,Island,Laurgardalsvöllur,OL-kvalifikationskamp,Herrer,A-Landshold,9400,1959-06-26
26-06-1966,0 - 1,Norge,Københavns Idrætspark,NM,Herrer,A-Landshold,27500,1966-06-26
26-06-1968,0 - 0,Sverige,Mascot Park,Testkamp,Herrer,U21-landshold,4600,1968-06-26
26-06-1968,2 - 2,Sverige,NA,Testkamp,Herrer,U19-landshold,0,1968-06-26
26-06-1975,1 - 1,Finland,NA,Testkamp,Herrer,U21-landshold,1700,1975-06-26
26-06-1976,0 - 5,DDR,Valby Idrætspark,Testkamp,Herrer,U21-landshold,600,1976-06-26
26-06-1990,9 - 1,Færøerne,NA,NM,Kvinder,U17-landshold,0,1990-06-26
26-06-1992,2 - 0,Tyskland,Nya Ullevi,EM-slutrunde,Herrer,A-Landshold,37800,1992-06-26
26-06-1994,1 - 0,Norge,NA,Open Nordic Cup,Kvinder,U17-landshold,0,1994-06-26
26-06-1997,0 - 0,Italien,NA,Nordic Cup,Kvinder,U17-landshold,0,1997-06-26
26-06-2012,0 - 2,Tyskland,Le Colovray Stadium,EM-slutrunde,Kvinder,U17-landshold,0,2012-06-26
26-06-2018,0 - 0,Frankrig,Luzhniki Stadium,VM-slutrunde,Herrer,A-Landshold,78011,2018-06-26
26-06-2021,4 - 0,Wales,Johan Cruijff arenA,EM-slutrunde,Herrer,A-Landshold,14645,2021-06-26
26-07-1965,1 - 3,Sovjetunionen,NA,Internordisk turnering,Herrer,U19-landshold,0,1965-07-26
26-07-1975,3 - 1,Norge,NA,International turnering,Herrer,U19-landshold,0,1975-07-26
26-07-1975,9 - 0,Finland,Vejen Stadion,NM,Kvinder,A-Landshold,575,1975-07-26
26-07-1983,3 - 2,Czekoslovakiet,NA,International turnering,Herrer,U17-landshold,800,1983-07-26
26-07-1984,3 - 0,Finland,NA,Internordisk turnering,Herrer,U17-landshold,0,1984-07-26
26-07-1987,2 - 1,Island,NA,Internordisk turnering,Herrer,U17-landshold,150,1987-07-26
26-07-1992,1 - 1,Mexico,NA,OL-slutrunde,Herrer,U21-landshold,1500,1992-07-26
26-07-1994,1 - 2,Tjekkiet,NA,Testkamp,Herrer,U21-landshold,0,1994-07-26
26-07-2001,0 - 1,Norge,NA,EM-slutrunde,Kvinder,U19-landshold,0,2001-07-26
26-07-2001,2 - 3,Polen,Ratina Stadion,EM-slutrunde,Herrer,U19-landshold,2100,2001-07-26
26-07-2002,1 - 2,Finland,NA,Open Nordic Cup,Kvinder,U21-landshold,150,2002-07-26
26-07-2005,1 - 2,Sverige,Brovallen,Open Nordic Cup,Kvinder,U21-landshold,260,2005-07-26
26-07-2010,4 - 1,Japan,Riada Stadium,NI Milk Cup,Herrer,U20-landshold,417,2010-07-26
26-07-2012,0 - 3,Mexico,Ballymena Showgrounds,NI Milk Cup,Herrer,U20-landshold,1497,2012-07-26
26-08-1945,4 - 2,Norge,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,40000,1945-08-26
26-08-1945,5 - 1,Norge,Ceres Park,Testkamp,Herrer,U21-landshold,13000,1945-08-26
26-08-1960,3 - 2,Argentina,Stadio Flaminio,OL-slutrunde,Herrer,A-Landshold,8000,1960-08-26
26-08-1981,3 - 0,Island,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,11000,1981-08-26
26-08-1987,0 - 1,Sverige,Råsunda,Testkamp,Herrer,A-Landshold,15637,1987-08-26
26-08-1987,1 - 3,Island,Idrætscenter Nyborg,EM-kvalifikationskamp,Herrer,U21-landshold,500,1987-08-26
26-08-1992,0 - 0,Letland,Daugavas,VM-kvalifikationskamp,Herrer,A-Landshold,5500,1992-08-26
26-08-1994,1 - 1,Tyskland,NA,International turnering,Herrer,U17-landshold,1000,1994-08-26
26-08-2003,4 - 1,Tjekkiet,Helsingør Stadion,Testkamp,Herrer,U19-landshold,300,2003-08-26
26-08-2006,1 - 2,Finland,Ratina Stadion,VM-kvalifikationskamp,Kvinder,A-Landshold,4194,2006-08-26
26-08-2009,1 - 1,Kroatien,Nový Budzov Stadium,International turnering,Herrer,U18-landshold,105,2009-08-26
26-08-2009,2 - 1,Ukraine,Helsinki Stadion,EM-slutrunde,Kvinder,A-Landshold,1300,2009-08-26
26-08-2010,2 - 3,Frankrig,Gladsaxe Stadion,Testkamp,Herrer,U18-landshold,355,2010-08-26
26-08-2014,1 - 0,Georgien,Mikheil Meskhi,Testkamp,Herrer,U17-landshold,228,2014-08-26
26-08-2015,0 - 1,Finland,Brøndby Stadion - Bane 2,Testkamp,Kvinder,U23-landshold,0,2015-08-26
26-09-1948,0 - 0,England,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,41000,1948-09-26
26-09-1956,0 - 3,England,Københavns Idrætspark,Testkamp,Herrer,U21-landshold,23000,1956-09-26
26-09-1962,4 - 1,Holland,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,13000,1962-09-26
26-09-1965,2 - 2,Norge,Ullevaal,NM,Herrer,A-Landshold,15000,1965-09-26
26-09-1971,4 - 1,Norge,Ullevaal,NM,Herrer,A-Landshold,11200,1971-09-26
26-09-1979,1 - 0,Finland,Københavns Idrætspark,NM,Herrer,A-Landshold,24000,1979-09-26
26-09-1979,2 - 1,Finland,Kolding Stadion,Testkamp,Herrer,U21-landshold,650,1979-09-26
26-09-1984,1 - 0,Norge,Københavns Idrætspark,VM-kvalifikationskamp,Herrer,A-Landshold,45400,1984-09-26
26-09-1989,3 - 1,Finland,NA,EM-kvalifikationskamp,Herrer,U17-landshold,500,1989-09-26
26-09-1990,0 - 0,Finland,Holbæk Stadion,Testkamp,Herrer,U19-landshold,0,1990-09-26
26-09-2004,1 - 0,Sverige,NA,EM-kvalifikationskamp,Herrer,U17-landshold,200,2004-09-26
26-09-2004,6 - 0,Belgien,Aalborg Stadion,EM-kvalifikationskamp,Kvinder,A-Landshold,2137,2004-09-26
26-09-2008,3 - 1,Litauen,Rishon Lezion Muncipal,EM-kvalifikationskamp,Herrer,U17-landshold,18,2008-09-26
26-09-2013,1 - 0,Kasakhstan,Varde Stadion,EM-kvalifikationskamp,Herrer,U17-landshold,748,2013-09-26
26-09-2013,2 - 2,Irland,Tolka Park,EM-kvalifikationskamp,Kvinder,U19-landshold,440,2013-09-26
26-09-2023,2 - 1,Portugal,Cidade do Futebol,Testkamp,Kvinder,U17-landshold,35,2023-09-26
26-09-2023,5 - 1,Wales,Cardiff City Stadium,UEFA Nations League,Kvinder,A-Landshold,8607,2023-09-26
26-10-1913,4 - 1,Tyskland,Victoria Sportplaz,Testkamp,Herrer,A-Landshold,15000,1913-10-26
26-10-1958,0 - 2,Sverige,Odense Stadion,Testkamp,Herrer,U21-landshold,8000,1958-10-26
26-10-1958,3 - 3,Sverige,Randers Stadion,Testkamp,Herrer,B-Landshold,15500,1958-10-26
26-10-1958,4 - 4,Sverige,Råsunda,NM,Herrer,A-Landshold,44000,1958-10-26
26-10-1966,1 - 2,DDR,Aalborg Stadion,Testkamp,Herrer,U21-landshold,4000,1966-10-26
26-10-1966,3 - 1,Israel,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,13500,1966-10-26
26-10-1976,1 - 0,Nordirland,Aalborg Stadion,EM-kvalifikationskamp,Herrer,U19-landshold,850,1976-10-26
26-10-1978,4 - 1,Sverige,Tårnby Stadion,EM-kvalifikationskamp,Herrer,U19-landshold,220,1978-10-26
26-10-1983,0 - 1,Ungarn,Ferenc Puskas Stadion,EM-kvalifikationskamp,Herrer,A-Landshold,8000,1983-10-26
26-10-1988,1 - 1,Sverige,Ryavallen,EM-kvalifikationskamp,Kvinder,A-Landshold,595,1988-10-26
26-10-1993,3 - 1,Nordirland,Nr. Aaby Stadion,EM-kvalifikationskamp,Herrer,U17-landshold,300,1993-10-26
26-10-1994,3 - 2,Polen,NA,EM-kvalifikationskamp,Herrer,U19-landshold,5000,1994-10-26
26-10-1995,0 - 1,Portugal,Sydbank Park,EM-kvalifikationskamp,Herrer,U19-landshold,300,1995-10-26
26-10-1996,6 - 0,Nordmakedonien,Holstebro Idrætspark,EM-kvalifikationskamp,Herrer,U17-landshold,100,1996-10-26
26-10-2003,4 - 0,Andorra,NA,EM-kvalifikationskamp,Herrer,U17-landshold,50,2003-10-26
26-10-2006,3 - 3,England,Vanløse Idrætspark,Testkamp,Kvinder,U17-landshold,203,2006-10-26
26-10-2011,3 - 0,Portugal,Municipal,EM-kvalifikationskamp,Kvinder,A-Landshold,400,2011-10-26
26-10-2013,1 - 1,Serbien,Gradski Stadion,VM-kvalifikationskamp,Kvinder,A-Landshold,0,2013-10-26
26-10-2013,3 - 3,Tyrkiet,Grenaa Idrætscenter,Testkamp,Herrer,Futsallandsholdet,900,2013-10-26
26-10-2018,0 - 9,Tjekkiet,NA,Testkamp,Herrer,Futsallandsholdet,0,2018-10-26
26-10-2021,2 - 1,Finland,Hvidovre Stadion,EM-kvalifikationskamp,Kvinder,U19-landshold,0,2021-10-26
26-10-2021,5 - 1,Montenegro,Gradski Stadion Podgorica,VM-kvalifikationskamp,Kvinder,A-Landshold,166,2021-10-26
26-10-2022,3 - 0,Rumænien,Buftea Training Centre,EM-kvalifikationskamp,Herrer,U17-landshold,287,2022-10-26
26-10-2023,1 - 4,Spanien,NA,Testkamp,Kvinder,U23-landshold,107,2023-10-26
26-11-1933,2 - 2,Belgien,Heysel,Testkamp,Herrer,A-Landshold,15000,1933-11-26
26-11-1967,3 - 1,Vesttyskland,NA,Testkamp,Herrer,U19-landshold,0,1967-11-26
26-11-1974,2 - 1,Skotland,Rugby Park,EM-kvalifikationskamp,Herrer,U19-landshold,1000,1974-11-26
26-11-1986,1 - 1,Belgien,NA,EM-kvalifikationskamp,Herrer,U19-landshold,1500,1986-11-26
26-11-2012,3 - 0,Finland,Kouklia Community Stadium,EM-kvalifikationskamp,Herrer,U19-landshold,75,2012-11-26
26-11-2015,1 - 0,Slovakiet,National Training Centre,EM-kvalifikationskamp,Kvinder,A-Landshold,0,2015-11-26
26-11-2019,1 - 1,Portugal,Emirhan Sport Complex,International turnering,Herrer,U16-landshold,66,2019-11-26
26-11-2021,2 - 0,Schweiz,Oliva Nova Sports Center,Testkamp,Kvinder,U19-landshold,0,2021-11-26
26-11-2022,1 - 2,Frankrig,Stadium 974,VM-slutrunde,Herrer,A-Landshold,42860,2022-11-26
26-11-2023,2 - 2,Saudi Arabien,NA,International turnering,Herrer,U16-landshold,76,2023-11-26
27-01-1985,0 - 1,Honduras,National Stadium of Tegucigalpa,Testkamp,Herrer,A-Landshold,25000,1985-01-27
27-01-1985,3 - 0,Honduras (udvalgt hold),NA,Uofficiel landskamp,Herrer,Ligalandshold,0,1985-01-27
27-01-1996,2 - 3,Chile,NA,International turnering,Herrer,U21-landshold,0,1996-01-27
27-01-1998,0 - 1,Thailand,NA,Uofficiel landskamp,Herrer,Ligalandshold,0,1998-01-27
27-01-1999,1 - 1,Venezuela,NA,Uofficiel landskamp,Herrer,Ligalandshold,0,1999-01-27
27-01-2005,0 - 2,Spanien,NA,International turnering,Herrer,U16-landshold,250,2005-01-27
27-01-2007,1 - 1,Honduras,National Stadium of Tegucigalpa,Uofficiel landskamp,Herrer,Ligalandshold,7000,2007-01-27
27-01-2008,1 - 0,Qatar,Al Etehad Stadium,Uofficiel landskamp,Herrer,Ligalandshold,1000,2008-01-27
27-01-2011,2 - 1,Grækenland,7 Eyül,Aegean Cup,Herrer,U16-landshold,104,2011-01-27
27-01-2013,3 - 0,Island,Korinn Stadion,Testkamp,Kvinder,U17-landshold,47,2013-01-27
27-02-1979,2 - 2,Israel,NA,Algarve Cup,Herrer,U17-landshold,0,1979-02-27
27-02-1989,1 - 2,Jugoslavien,NA,International turnering,Herrer,U19-landshold,0,1989-02-27
27-02-1989,3 - 1,Israel,NA,Testkamp,Herrer,U17-landshold,0,1989-02-27
27-02-2001,1 - 0,Portugal,NA,International turnering,Herrer,U16-landshold,0,2001-02-27
27-02-2003,0 - 2,Belgien,NA,Testkamp,Herrer,U19-landshold,200,2003-02-27
27-02-2018,0 - 1,Skotland,Lloret de Mar Top Ten Training centre,Testkamp,Herrer,U19-landshold,12,2018-02-27
27-02-2019,1 - 2,Norge,Estadio Algarve,Algarve Cup,Kvinder,A-Landshold,50,2019-02-27
27-02-2019,2 - 1,Norge,LSK Hallen,Testkamp,Herrer,U19-landshold,203,2019-02-27
27-02-2020,3 - 2,Frankrig,Stade Pierre de Coubertin,Testkamp,Herrer,U17-landshold,810,2020-02-27
27-02-2024,1 - 4,Holland,La Nucia 1,Testkamp,Kvinder,U19-landshold,64,2024-02-27
27-03-1979,0 - 1,Holland,NA,Testkamp,Herrer,U21-landshold,1400,1979-03-27
27-03-1994,5 - 1,Rumænien,NA,International turnering,Herrer,U16-landshold,0,1994-03-27
27-03-1996,0 - 2,Tyskland,Olympiske Stadion,Testkamp,Herrer,A-Landshold,26000,1996-03-27
27-03-1997,0 - 3,Ungarn,NA,Testkamp,Herrer,U17-landshold,0,1997-03-27
27-03-1999,1 - 2,Italien,Parken,EM-kvalifikationskamp,Herrer,A-Landshold,41429,1999-03-27
27-03-2001,0 - 3,Tjekkiet,NA,EM-kvalifikationskamp,Herrer,U21-landshold,2400,2001-03-27
27-03-2002,0 - 3,Irland,Aviva Stadium,Testkamp,Herrer,A-Landshold,42000,2002-03-27
27-03-2002,2 - 2,Tyskland,NA,Testkamp,Kvinder,U19-landshold,0,2002-03-27
27-03-2004,5 - 0,Slovakiet,NA,EM-kvalifikationskamp,Herrer,U17-landshold,500,2004-03-27
27-03-2007,1 - 2,Grækenland,Ionikos Stadion,Testkamp,Herrer,U21-landshold,345,2007-03-27
27-03-2008,4 - 2,Island,Spjald Stadion,EM-kvalifikationskamp,Kvinder,U17-landshold,418,2008-03-27
27-03-2009,0 - 2,Frankrig,Dovo Stadion,EM-kvalifikationskamp,Kvinder,U17-landshold,67,2009-03-27
27-03-2009,1 - 2,Skotland,Apeldoorn,EM-kvalifikationskamp,Kvinder,U19-landshold,0,2009-03-27
27-03-2010,1 - 2,Skotland,Apeldoorn,EM-kvalifikationskamp,Kvinder,U19-landshold,0,2010-03-27
27-03-2010,9 - 0,Bulgarien,Vejle Stadion,VM-kvalifikationskamp,Kvinder,A-Landshold,3698,2010-03-27
27-03-2015,0 - 2,Tyrkiet,Kasimpasa Erdogan Stadium,Testkamp,Herrer,U21-landshold,502,2015-03-27
27-03-2016,0 - 2,Spanien,Mill Meadow,EM-kvalifikationskamp,Kvinder,U17-landshold,0,2016-03-27
27-03-2017,0 - 4,England,Randers Stadion,Testkamp,Herrer,U21-landshold,5367,2017-03-27
27-03-2017,2 - 0,Rumænien,Marbella Football Center,Testkamp,Herrer,U20-landshold,0,2017-03-27
27-03-2018,0 - 0,Chile,Aalborg Stadion,Testkamp,Herrer,A-Landshold,11527,2018-03-27
27-03-2018,0 - 1,Bosnien-Hercegovina,Thermenstadion,EM-kvalifikationskamp,Herrer,U17-landshold,420,2018-03-27
27-03-2018,2 - 2,Georgien,Tengiz Burjanadze Stadioni,EM-kvalifikationskamp,Herrer,U21-landshold,0,2018-03-27
27-03-2018,2 - 2,Østrig,JYSK Park,EM-kvalifikationskamp,Herrer,U19-landshold,581,2018-03-27
27-03-2019,2 - 3,England,JYSK Park,EM-kvalifikationskamp,Herrer,U17-landshold,512,2019-03-27
27-03-2019,5 - 0,Italien,Marcello Melani Stadium,EM-kvalifikationskamp,Kvinder,U17-landshold,300,2019-03-27
27-04-1983,1 - 0,Grækenland,Københavns Idrætspark,EM-kvalifikationskamp,Herrer,A-Landshold,33700,1983-04-27
27-04-1988,0 - 1,Østrig,Ernst Happel,Testkamp,Herrer,A-Landshold,22000,1988-04-27
27-04-1993,2 - 0,Irland,NA,EM-kvalifikationskamp,Herrer,U21-landshold,2400,1993-04-27
27-04-1993,4 - 0,Sverige,St. Merløse Stadion,Testkamp,Herrer,U19-landshold,0,1993-04-27
27-04-1999,0 - 1,Tjekkiet,NA,EM-slutrunde,Herrer,U17-landshold,4200,1999-04-27
27-04-1999,1 - 1,Tyrkiet,Aabenraa Stadion,Testkamp,Herrer,U21-landshold,1012,1999-04-27
27-04-2002,4 - 4,Holland,Farum Park,EM-slutrunde,Herrer,U17-landshold,1388,2002-04-27
27-04-2004,2 - 2,Skotland,Helsingør Stadion,Testkamp,Herrer,U20-landshold,1050,2004-04-27
27-04-2005,7 - 2,Schweiz,Vildbjerg Stadion,Testkamp,Kvinder,A-Landshold,1050,2005-04-27
27-04-2006,2 - 1,Island,National Training Centre Mogosoaia,EM-kvalifikationskamp,Kvinder,U19-landshold,50,2006-04-27
27-04-2006,5 - 0,Spanien,Viborg Stadion,VM-kvalifikationskamp,Kvinder,A-Landshold,4336,2006-04-27
27-04-2008,2 - 1,Skotland,Viborg Stadion,EM-kvalifikationskamp,Kvinder,A-Landshold,3821,2008-04-27
27-04-2009,0 - 1,Italien,Stadium of Nováky,International turnering,Herrer,U18-landshold,625,2009-04-27
27-04-2009,4 - 3,Ungarn,Aulum Fritidscenter,Testkamp,Herrer,U16-landshold,1041,2009-04-27
27-04-2010,0 - 0,Tjekkiet,NA,International turnering,Herrer,U18-landshold,400,2010-04-27
27-04-2012,0 - 1,Tjekkiet,Teplice Stadium,International turnering,Herrer,U18-landshold,530,2012-04-27
27-04-2016,0 - 2,Italien,Stadio Giovanni Mari,Testkamp,Herrer,U20-landshold,1000,2016-04-27
27-04-2019,2 - 3,Ungarn,NA,Testkamp,Herrer,Futsallandsholdet,0,2019-04-27
27-04-2024,1 - 1,Rumænien,Buftea Training Centre,Testkamp,Herrer,U16-landshold,200,2024-04-27
27-05-1969,2 - 0,Irland,Københavns Idrætspark,VM-kvalifikationskamp,Herrer,A-Landshold,28300,1969-05-27
27-05-1981,1 - 2,Frankrig,NA,EM-slutrunde,Herrer,U19-landshold,0,1981-05-27
27-05-1982,1 - 0,Belgien,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,12000,1982-05-27
27-05-1984,0 - 3,Italien,NA,EM-slutrunde,Herrer,U19-landshold,10000,1984-05-27
27-05-1987,1 - 1,Grækenland,NA,EM-slutrunde,Herrer,U17-landshold,1000,1987-05-27
27-05-1996,0 - 3,Tyskland,NA,Testkamp,Kvinder,U21-landshold,0,1996-05-27
27-05-1997,2 - 2,Tyskland,Valby Idrætspark,Testkamp,Kvinder,A-Landshold,1000,1997-05-27
27-05-2004,2 - 1,Norge,Odense Stadion,EM-kvalifikationskamp,Kvinder,A-Landshold,1796,2004-05-27
27-05-2006,1 - 1,Paraguay,Ceres Park,Testkamp,Herrer,A-Landshold,20047,2006-05-27
27-05-2010,1 - 0,Schweiz,Stadium of Hall,EM-kvalifikationskamp,Herrer,U19-landshold,369,2010-05-27
27-05-2010,2 - 0,Senegal,Aalborg Stadion,Testkamp,Herrer,A-Landshold,14112,2010-05-27
27-05-2010,2 - 3,Elfenbenskysten,Stade Mayol,Uofficiel landskamp,Herrer,U21-landshold,840,2010-05-27
27-05-2014,2 - 1,Palmeiras,Aspire Academy,Uofficiel landskamp,Herrer,U16-landshold,32,2014-05-27
27-05-2014,2 - 2,Palmeiras,Aspire Academy,Uofficiel landskamp,Herrer,U18-landshold,35,2014-05-27
27-06-1953,4 - 1,Schweiz,St. Jakob-Park,Testkamp,Herrer,A-Landshold,8000,1953-06-27
27-06-1964,2 - 4,Sverige,Vejle Stadion,Testkamp,Herrer,B-Landshold,8500,1964-06-27
27-06-1964,3 - 1,Sverige,Viborg Stadion,Testkamp,Herrer,U21-landshold,5600,1964-06-27
