Dato,Resultat,Modstander,Spillested,Kamptype,Køn,Hold,Tilskuere,date
01-10-1999,1 - 2,Skotland,NA,International turnering,Herrer,U19-landshold,0,1999-10-01
01-10-2002,1 - 0,Tjekkiet,NA,Testkamp,Herrer,U18-landshold,0,2002-10-01
01-10-2005,1 - 0,Slovenien,Torpedo Stadion,EM-kvalifikationskamp,Herrer,U17-landshold,1000,2005-10-01
01-10-2005,1 - 1,Sverige,Ballerup Idrætspark,EM-kvalifikationskamp,Kvinder,U19-landshold,100,2005-10-01
01-10-2008,1 - 0,Ukraine,Viborg Stadion,EM-kvalifikationskamp,Kvinder,A-Landshold,9152,2008-10-01
01-10-2011,2 - 2,Serbien,Mirko Vucurevic,EM-kvalifikationskamp,Kvinder,U17-landshold,0,2011-10-01
01-10-2012,6 - 0,Serbien,Mladost Stadium,EM-kvalifikationskamp,Kvinder,U17-landshold,17,2012-10-01
01-10-2013,0 - 0,Schweiz,Varde Stadion,EM-kvalifikationskamp,Herrer,U17-landshold,324,2013-10-01
01-11-1980,0 - 2,Italien,Stadio Olimpico,VM-kvalifikationskamp,Herrer,A-Landshold,50000,1980-11-01
01-11-1988,1 - 3,Bulgarien,Slagelse Stadion,EM-kvalifikationskamp,Herrer,U21-landshold,994,1988-11-01
01-11-2008,2 - 1,Irland,Beaublanc Stadium,International turnering,Herrer,U18-landshold,450,2008-11-01
01-11-2008,2 - 1,New Zealand,North Harbour Stadium,VM-slutrunde,Kvinder,U17-landshold,11170,2008-11-01
01-11-2011,0 - 3,Israel,Stadium Raanana,Testkamp,Herrer,U16-landshold,136,2011-11-01
01-11-2016,0 - 4,Tyskland,Stadion Flensburg,Testkamp,Kvinder,U16-landshold,430,2016-11-01
01-11-2018,1 - 2,Tyskland,Friedrich-Ludwig-Jahn-Sportpark,Testkamp,Kvinder,U16-landshold,555,2018-11-01
01-11-2022,1 - 0,Belgien,Henning Have Stadion,Testkamp,Kvinder,U16-landshold,0,2022-11-01
01-11-2022,2 - 3,Belgien,Steua Sports Complex,EM-kvalifikationskamp,Herrer,U17-landshold,127,2022-11-01
01-12-1964,1 - 0,Israel,Bloomfield,Testkamp,Herrer,A-Landshold,15000,1964-12-01
01-12-1965,2 - 4,Wales,The Racecourse Stadium,VM-kvalifikationskamp,Herrer,A-Landshold,4700,1965-12-01
